   mDM     x      nu            b             tau           c             q             t             Z             W
   10.     0.84   0.00792796    0             0.126946      0             0             0             0             0
   10.     0.85   0.00795889    0             0.117908      0             0             0             0             0
   10.     0.86   0.00798945    0             0.108944      0             0             0             0             0
   10.     0.87   0.00801967    0             0.100054      0             0             0             0             0
   10.     0.88   0.00805501    0             0.0911179     0             0             0             0             0
   10.     0.89   0.00809053    0             0.0823188     0             0             0             0             0
   10.     0.9    0.00812566    0             0.0736688     0             0             0             0             0
   10.     0.91   0.00816039    0             0.065164      0             0             0             0             0
   10.     0.92   0.00819916    0             0.0563853     0             0             0             0             0
   10.     0.93   0.00823862    0             0.0479145     0             0             0             0             0
   10.     0.94   0.00827766    0             0.0398745     0             0             0             0             0
   10.     0.95   0.00831628    0             0.0322525     0             0             0             0             0
   10.     0.96   0.0436987     0             0.0250362     0             0             0             0             0
   10.     0.97   0.113772      0             0.018214      0             0             0             0             0
   10.     0.98   0.183126      0             0.0117745     0             0             0             0             0
   10.     0.99   0.251777      0             0.00570677    0             0             0             0             0
   10.     1.     0.319737      0             0             0             0             0             0             0
   30.     0.01   0.0592271     1.30655       0.960992      0.408371      0.0072483     0             0             0
   30.     0.02   0.0585532     1.23878       0.946737      0.402873      0.00881708    0             0             0
   30.     0.03   0.0578732     1.16104       0.924912      0.384986      0.00755281    0             0             0
   30.     0.04   0.0572997     1.08168       0.905559      0.363543      0.0059195     0             0             0
   30.     0.05   0.0568082     1.0026        0.889826      0.342377      0.00457364    0             0             0
   30.     0.06   0.0562266     0.925329      0.876312      0.322033      0.00353497    0             0             0
   30.     0.07   0.0554623     0.851233      0.864001      0.302493      0.00275197    0             0             0
   30.     0.08   0.0547131     0.781293      0.852355      0.283669      0.00216794    0             0             0
   30.     0.09   0.053879      0.716037      0.841072      0.265531      0.00173437    0             0             0
   30.     0.1    0.0531227     0.655684      0.830007      0.248061      0.00141075    0             0             0
   30.     0.11   0.0522069     0.600169      0.81911       0.231246      0.00116703    0             0             0
   30.     0.12   0.05129       0.549353      0.808216      0.215128      0.000979745   0             0             0
   30.     0.13   0.0503373     0.502976      0.797393      0.199719      0.000832832   0             0             0
   30.     0.14   0.0494547     0.460319      0.787007      0.184798      0.000713358   0             0             0
   30.     0.15   0.0485044     0.421425      0.776746      0.170597      0.000614404   0             0             0
   30.     0.16   0.0476868     0.386039      0.766437      0.157179      0.00053068    0             0             0
   30.     0.17   0.046767      0.353674      0.756262      0.144448      0.000458211   0             0             0
   30.     0.18   0.045903      0.324053      0.74625       0.132402      0.000394787   0             0             0
   30.     0.19   0.0449837     0.297015      0.736203      0.121118      0.000338993   0             0             0
   30.     0.2    0.0441002     0.272316      0.726143      0.110592      0.000289776   0             0             0
   30.     0.21   0.0433413     0.249737      0.716125      0.100782      0.000246513   0             0             0
   30.     0.22   0.0424949     0.228886      0.706283      0.0915758     0.000208302   0             0             0
   30.     0.23   0.0417391     0.209733      0.696457      0.0830441     0.000174889   0             0             0
   30.     0.24   0.0408875     0.192155      0.686636      0.0751709     0.000145892   0             0             0
   30.     0.25   0.0401        0.176016      0.676821      0.0679265     0.000120976   0             0             0
   30.     0.26   0.0393588     0.161174      0.666953      0.0612762     0             0             0             0
   30.     0.27   0.0386474     0.147394      0.65718       0.0551256     0             0             0             0
   30.     0.28   0.0379529     0.134647      0.647414      0.049479      0             0             0             0
   30.     0.29   0.0372702     0.122896      0.63765       0.044329      0             0             0             0
   30.     0.3    0.0365969     0.112076      0.627893      0.0396483     0             0             0             0
   30.     0.31   0.0359252     0.1021        0.618135      0.0353969     0             0             0             0
   30.     0.32   0.0352845     0.092892      0.608406      0.0315383     0             0             0             0
   30.     0.33   0.0346875     0.0843793     0.598653      0.0280372     0             0             0             0
   30.     0.34   0.0340542     0.0764807     0.588801      0.0248563     0             0             0             0
   30.     0.35   0.0334525     0.0692221     0.578939      0.0219972     0             0             0             0
   30.     0.36   0.0329085     0.0625534     0.569086      0.0194307     0             0             0             0
   30.     0.37   0.0323647     0.0564165     0.559246      0.0171259     0             0             0             0
   30.     0.38   0.0318289     0.0507784     0.549437      0.0150575     0             0             0             0
   30.     0.39   0.0312779     0.0456058     0.539673      0.01321       0             0             0             0
   30.     0.4    0.0307468     0.0408671     0.529956      0.0115588     0             0             0             0
